type,location,mid,lo,hi,Arm,Age
model,Cambodia,1.86722525127866e-05,4.41847995116532e-07,0.000146841531737511,SOC,0-4
model,Cameroon,0.000770907601318254,0.000284667802039052,0.00175676604530984,SOC,0-4
model,Côte d'Ivoire,7.63328425096784e-05,2.1566146124188e-05,0.000199959615152848,SOC,0-4
model,Mozambique,0.00141391942673103,0.00105528896273746,0.00184605082486166,SOC,0-4
model,Sierra Leone,0.0007681697096622,0.000523163000423261,0.0010958076345966,SOC,0-4
model,Uganda,0.000547499708181309,0.000296540713633548,0.000917611464053816,SOC,0-4
model,All,0.000412357808642131,6.64081624001982e-05,0.00357166234027669,SOC,0-4
model,Cambodia,0.00147246731570597,0.000842683994274935,0.00244261006541168,SOC,5-14
model,Cameroon,0.00351533460557529,0.00179838971938205,0.00628243513161745,SOC,5-14
model,Côte d'Ivoire,0.000185542957053703,4.22084987461591e-05,0.000528076852716956,SOC,5-14
model,Mozambique,0.00191739536716066,0.00149788264489641,0.00241384104777619,SOC,5-14
model,Sierra Leone,0.00329902536224079,0.00194744034041635,0.00525371894670413,SOC,5-14
model,Uganda,0.000454507737914923,0.000263598209049632,0.000735280229412626,SOC,5-14
model,All,0.00143451439219483,0.00033853369659116,0.00673731735613672,SOC,5-14
model,Cambodia,0.000272113873407809,5.19380083984686e-05,0.000854321217257864,IPH,0-4
model,Cameroon,0.00162507290455776,0.000598222969676935,0.00390162856756378,IPH,0-4
model,Côte d'Ivoire,0.000379349443756921,0.00015744576579213,0.000777011965566422,IPH,0-4
model,Mozambique,0.00120367434758803,0.000711733415008245,0.0019147726945677,IPH,0-4
model,Sierra Leone,0.00153773044575569,0.000699642140516931,0.00298314820460422,IPH,0-4
model,Uganda,0.000477137042072063,0.000201481541561079,0.000965752831814089,IPH,0-4
model,All,0.000834482752208733,0.000297843122856442,0.00324382211054722,IPH,0-4
model,Cambodia,0.00135782621041656,0.000574961957110779,0.0027825897569305,IPH,5-14
model,Cameroon,0.00319223617554337,0.00115760491411843,0.00755492572289729,IPH,5-14
model,Côte d'Ivoire,0.00250165646269063,0.00146217302423565,0.00410386189453025,IPH,5-14
model,Mozambique,0.00165548968189399,0.00110534294130643,0.00246672861851009,IPH,5-14
model,Sierra Leone,0.00734594050574848,0.00329304590633664,0.0144360857564198,IPH,5-14
model,Uganda,0.000920423696662605,0.000538944962072212,0.0014813025867452,IPH,5-14
model,All,0.00242541823507661,0.000982874581313372,0.00645699120211018,IPH,5-14
model,Cambodia,0.00186050418090922,0.000988195867710218,0.00313066943023809,IDH,0-4
model,Cameroon,0.00312060628468473,0.00178967577126236,0.00545070692393649,IDH,0-4
model,Côte d'Ivoire,0.00238678366064743,0.00167967934834816,0.00327674619397146,IDH,0-4
model,Mozambique,0.00305239764483133,0.00207923244818841,0.00438741763558618,IDH,0-4
model,Sierra Leone,0.00382450308370749,0.00303744371472919,0.00471628586755174,IDH,0-4
model,Uganda,0.00184150855459325,0.00107632128771456,0.00286399806820673,IDH,0-4
model,All,0.00260710162384232,0.00150467806854651,0.00425312320022315,IDH,0-4
model,Cambodia,0.00161464072526113,0.000604597369529343,0.00361397306094281,IDH,5-14
model,Cameroon,0.00893005448020476,0.0047201893426862,0.015365677126115,IDH,5-14
model,Côte d'Ivoire,0.00840898732565734,0.00602298784141159,0.0114754922765976,IDH,5-14
model,Mozambique,0.00461039728836821,0.00312767795100598,0.00663101547642219,IDH,5-14
model,Sierra Leone,0.00939471646989519,0.00673282851191712,0.0129158775361112,IDH,5-14
model,Uganda,0.00110979202826765,0.00059094478911514,0.0019353343002218,IDH,5-14
model,All,0.00503448256742597,0.00176700123053311,0.0176965059426057,IDH,5-14
