type,location,mid,lo,hi,Arm,Age
model,Cambodia,0.0335856077351528,0.00619641622833916,0.116095692613293,IPH,0-4
model,Cameroon,0.0245480509767859,0.0100219510382184,0.0500968442189072,IPH,0-4
model,Côte d'Ivoire,0.0329565509034755,0.0141044753362853,0.0678568316114978,IPH,0-4
model,Mozambique,0.0684494381788173,0.0410996130235314,0.106439398013565,IPH,0-4
model,Sierra Leone,0.140216049418147,0.0623442862883118,0.257716871163616,IPH,0-4
model,Uganda,0.0158395819230236,0.00716599714678648,0.0310133380100864,IPH,0-4
model,All,0.0450903092737059,0.0143878298102407,0.139919749893336,IPH,0-4
model,Cambodia,0.0773964076774972,0.0312420302408793,0.160534368593169,IPH,5-14
model,Cameroon,0.0318512413659137,0.0115421368448723,0.0702274524962971,IPH,5-14
model,Côte d'Ivoire,0.106677378526495,0.063832233343762,0.167276341441581,IPH,5-14
model,Mozambique,0.0691795850597363,0.0457894326449574,0.0995553709680392,IPH,5-14
model,Sierra Leone,0.552632869700213,0.278153434783446,0.793424465829351,IPH,5-14
model,Uganda,0.0593027236330461,0.0344576725783179,0.0939175890679239,IPH,5-14
model,All,0.115493160936606,0.0319194190519856,0.390797052987451,IPH,5-14
model,Cambodia,0.0771933563041258,0.0388121723089918,0.13734103840447,IDH,0-4
model,Cameroon,0.045060371016371,0.0229118013617832,0.0772439974158195,IDH,0-4
model,Côte d'Ivoire,0.368972470219093,0.262534824192993,0.484938408689091,IDH,0-4
model,Mozambique,0.161838201597563,0.110660878400018,0.228184442742286,IDH,0-4
model,Sierra Leone,0.215589282880392,0.178212935882866,0.25632359542542,IDH,0-4
model,Uganda,0.0662853407189413,0.0380387905801556,0.107156539333325,IDH,0-4
model,All,0.137661578133691,0.0493125037563998,0.3548549592485,IDH,0-4
model,Cambodia,0.0374260336750174,0.0134820496664302,0.082568081631812,IDH,5-14
model,Cameroon,0.0837366342381245,0.0468142287881346,0.139382466621442,IDH,5-14
model,Côte d'Ivoire,0.471132226282624,0.365674709428155,0.575165533420441,IDH,5-14
model,Mozambique,0.271912267312181,0.191929787150336,0.367991681089258,IDH,5-14
model,Sierra Leone,0.343785546054802,0.25892769815342,0.435306339635641,IDH,5-14
model,Uganda,0.057378097680119,0.0306887667228744,0.0973404819235969,IDH,5-14
model,All,0.173661283135005,0.052169516455674,0.452887064905286,IDH,5-14
