levelName,check,p,cost,deaths,lives,refers,dxc,dxb
DH-focused strategy                                                 ,0,1,0,0,0,0,0,0
 ¦--Present at DH                                                   ,0,1-idh.p.phc,0,0,0,0,0,0
 ¦   °--Systematic TB screening                                     ,0,1,c.idh.dh.sassess,0,0,0,0,0
 ¦       ¦--Presumptive TB                                          ,0,dh.prsmptv*idh.dh.presumed,0,0,0,0,0,0
 ¦       ¦   °--Clinical exam + CXR + Xpert Ultra on NPA & stool    ,0,1,c.idh.dh.examCXRxns,0,0,0,0,0
 ¦       ¦       ¦--TB diagnosed (bacteriological)                  ,0,idh.dh.ptbxns,0,0,0,0,0,1
 ¦       ¦       ¦   ¦--RifS-TB diagnosed                           ,0,1-p.rr,0,0,0,0,0,0
 ¦       ¦       ¦   ¦   ¦--RifS-TB treatment                       ,0,1-ptltfu,c.idh.dh.rsATT,0,0,0,0,0
 ¦       ¦       ¦   ¦   ¦   ¦--Survives                            ,1,1-cfr_tx,0,0,1,0,0,0
 ¦       ¦       ¦   ¦   ¦   °--Dies                                ,1,cfr_tx,0,1,0,0,0,0
 ¦       ¦       ¦   ¦   °--No TB treatment                         ,0,ptltfu,0,0,0,0,0,0
 ¦       ¦       ¦   ¦       ¦--Survives                            ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦       ¦   ¦       °--Dies                                ,1,cfr_notx,0,1,0,0,0,0
 ¦       ¦       ¦   °--RifR-TB diagnosed                           ,0,p.rr,0,0,0,0,0,0
 ¦       ¦       ¦       ¦--RifR-TB treatment                       ,0,1-ptltfu,c.idh.dh.rrATT,0,0,0,0,0
 ¦       ¦       ¦       ¦   ¦--Survives                            ,1,1-cfr_tx,0,0,1,0,0,0
 ¦       ¦       ¦       ¦   °--Dies                                ,1,cfr_tx,0,1,0,0,0,0
 ¦       ¦       ¦       °--No TB treatment                         ,0,ptltfu,0,0,0,0,0,0
 ¦       ¦       ¦           ¦--Survives                            ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦       ¦           °--Dies                                ,1,cfr_notx,0,1,0,0,0,0
 ¦       ¦       ¦--TB diagnosed (clinical)                         ,0,idh.dh.ptbc*(1-idh.dh.ptbxns),0,0,0,0,1,0
 ¦       ¦       ¦   ¦--RifS-TB treatment                           ,0,1-ptltfu,c.idh.dh.rsATT,0,0,0,0,0
 ¦       ¦       ¦   ¦   ¦--Survives                                ,1,1-cfr_tx,0,0,1,0,0,0
 ¦       ¦       ¦   ¦   °--Dies                                    ,1,cfr_tx,0,1,0,0,0,0
 ¦       ¦       ¦   °--No TB treatment                             ,0,ptltfu,0,0,0,0,0,0
 ¦       ¦       ¦       ¦--Survives                                ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦       ¦       °--Dies                                    ,1,cfr_notx,0,1,0,0,0,0
 ¦       ¦       °--Reassessed at 7 days                            ,0,(1-idh.dh.ptbc)*(1-idh.dh.ptbxns),c.idh.dh.sreassess7,0,0,0,0,0
 ¦       ¦           ¦--TB diagnosed (clinical)                     ,0,idh.dh7.ptbc,0,0,0,0,1,0
 ¦       ¦           ¦   ¦--RifS-TB treatment                       ,0,1-ptltfu,c.idh.dh.rsATT,0,0,0,0,0
 ¦       ¦           ¦   ¦   ¦--Survives                            ,1,1-cfr_tx,0,0,1,0,0,0
 ¦       ¦           ¦   ¦   °--Dies                                ,1,cfr_tx,0,1,0,0,0,0
 ¦       ¦           ¦   °--No TB treatment                         ,0,ptltfu,0,0,0,0,0,0
 ¦       ¦           ¦       ¦--Survives                            ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦           ¦       °--Dies                                ,1,cfr_notx,0,1,0,0,0,0
 ¦       ¦           °--No TB diagnosed                             ,0,1-idh.dh7.ptbc,0,0,0,0,0,0
 ¦       ¦               °--No TB treatment                         ,0,1,0,0,0,0,0,0
 ¦       ¦                   ¦--Survives                            ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦                   °--Dies                                ,1,cfr_notx,0,1,0,0,0,0
 ¦       °--All other patients                                      ,0,1-dh.prsmptv*idh.dh.presumed,0,0,0,0,0,0
 ¦           °--No TB treatment                                     ,0,1,0,0,0,0,0,0
 ¦               ¦--Survives                                        ,1,1-cfr_notx,0,0,1,0,0,0
 ¦               °--Dies                                            ,1,cfr_notx,0,1,0,0,0,0
 °--Present at PHC                                                  ,0,idh.p.phc,0,0,0,0,0,0
     °--Systematic TB screening                                     ,0,1,c.idh.phc.sassess,0,0,0,0,0
         ¦--Presumptive TB                                          ,0,phc.prsmptv*idh.phc.presumed,0,0,0,0,0,0
         ¦   °--Refer to DH                                         ,0,1,0,0,0,1,0,0
         ¦       ¦--Clinical exam + CXR + Xpert Ultra on NPA & stool,0,1-idh.rltfu,c.idh.dh.examCXRxns,0,0,0,0,0
         ¦       ¦   ¦--TB diagnosed (bacteriological)              ,0,idh.dh.ptbxns,0,0,0,0,0,1
         ¦       ¦   ¦   ¦--RifS-TB diagnosed                       ,0,1-p.rr,0,0,0,0,0,0
         ¦       ¦   ¦   ¦   ¦--RifS-TB treatment                   ,0,1-ptltfu,c.idh.dh.rsATT,0,0,0,0,0
         ¦       ¦   ¦   ¦   ¦   ¦--Survives                        ,1,1-cfr_tx,0,0,1,0,0,0
         ¦       ¦   ¦   ¦   ¦   °--Dies                            ,1,cfr_tx,0,1,0,0,0,0
         ¦       ¦   ¦   ¦   °--No TB treatment                     ,0,ptltfu,0,0,0,0,0,0
         ¦       ¦   ¦   ¦       ¦--Survives                        ,1,1-cfr_notx,0,0,1,0,0,0
         ¦       ¦   ¦   ¦       °--Dies                            ,1,cfr_notx,0,1,0,0,0,0
         ¦       ¦   ¦   °--RifR-TB diagnosed                       ,0,p.rr,0,0,0,0,0,0
         ¦       ¦   ¦       ¦--RifR-TB treatment                   ,0,1-ptltfu,c.idh.dh.rrATT,0,0,0,0,0
         ¦       ¦   ¦       ¦   ¦--Survives                        ,1,1-cfr_tx,0,0,1,0,0,0
         ¦       ¦   ¦       ¦   °--Dies                            ,1,cfr_tx,0,1,0,0,0,0
         ¦       ¦   ¦       °--No TB treatment                     ,0,ptltfu,0,0,0,0,0,0
         ¦       ¦   ¦           ¦--Survives                        ,1,1-cfr_notx,0,0,1,0,0,0
         ¦       ¦   ¦           °--Dies                            ,1,cfr_notx,0,1,0,0,0,0
         ¦       ¦   ¦--TB diagnosed (clinical)                     ,0,idh.dh.ptbc*(1-idh.dh.ptbxns),0,0,0,0,1,0
         ¦       ¦   ¦   ¦--RifS-TB treatment                       ,0,1-ptltfu,c.idh.dh.rsATT,0,0,0,0,0
         ¦       ¦   ¦   ¦   ¦--Survives                            ,1,1-cfr_tx,0,0,1,0,0,0
         ¦       ¦   ¦   ¦   °--Dies                                ,1,cfr_tx,0,1,0,0,0,0
         ¦       ¦   ¦   °--No TB treatment                         ,0,ptltfu,0,0,0,0,0,0
         ¦       ¦   ¦       ¦--Survives                            ,1,1-cfr_notx,0,0,1,0,0,0
         ¦       ¦   ¦       °--Dies                                ,1,cfr_notx,0,1,0,0,0,0
         ¦       ¦   °--Reassessed at 7 days                        ,0,(1-idh.dh.ptbc)*(1-idh.dh.ptbxns),c.idh.dh.sreassess7,0,0,0,0,0
         ¦       ¦       ¦--TB diagnosed (clinical)                 ,0,idh.dh7.ptbc,0,0,0,0,1,0
         ¦       ¦       ¦   ¦--RifS-TB treatment                   ,0,1-ptltfu,c.idh.dh.rsATT,0,0,0,0,0
         ¦       ¦       ¦   ¦   ¦--Survives                        ,1,1-cfr_tx,0,0,1,0,0,0
         ¦       ¦       ¦   ¦   °--Dies                            ,1,cfr_tx,0,1,0,0,0,0
         ¦       ¦       ¦   °--No TB treatment                     ,0,ptltfu,0,0,0,0,0,0
         ¦       ¦       ¦       ¦--Survives                        ,1,1-cfr_notx,0,0,1,0,0,0
         ¦       ¦       ¦       °--Dies                            ,1,cfr_notx,0,1,0,0,0,0
         ¦       ¦       °--No TB diagnosed                         ,0,1-idh.dh7.ptbc,0,0,0,0,0,0
         ¦       ¦           °--No TB treatment                     ,0,1,0,0,0,0,0,0
         ¦       ¦               ¦--Survives                        ,1,1-cfr_notx,0,0,1,0,0,0
         ¦       ¦               °--Dies                            ,1,cfr_notx,0,1,0,0,0,0
         ¦       °--Does not reach DH                               ,0,idh.rltfu,0,0,0,0,0,0
         ¦           °--No TB treatment                             ,0,1,0,0,0,0,0,0
         ¦               ¦--Survives                                ,1,1-cfr_notx,0,0,1,0,0,0
         ¦               °--Dies                                    ,1,cfr_notx,0,1,0,0,0,0
         °--All other patients                                      ,0,1-phc.prsmptv*idh.phc.presumed,0,0,0,0,0,0
             °--No TB treatment                                     ,0,1,0,0,0,0,0,0
                 ¦--Survives                                        ,1,1-cfr_notx,0,0,1,0,0,0
                 °--Dies                                            ,1,cfr_notx,0,1,0,0,0,0
