levelName,p,cost,deaths,lives,refers,dxc,dxb,att,check,DH.presented,DH.screened,DH.presumed,DH.treated,PHC.presented,PHC.screened,PHC.presumed,PHC.treated
DH-focused strategy                                                        ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦--Present at DH                                                          ,1-d.idh.pphc,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ¦   ¦--Systematic TB screening                                            ,d.idh.dh.assess,c.d.idh.dh.sassess,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 ¦   ¦   ¦--Presumptive TB                                                 ,d.dh.prsmptv*d.idh.dh.presumed,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 ¦   ¦   ¦   °--Clinical exam + CXR + Xpert Ultra on NPA & stool/sputum    ,1,c.d.idh.dh.examCXRxns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦--TB diagnosed (bacteriological)                         ,d.idh.dh.ptbxns,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦   ¦--RifS-TB diagnosed                                  ,1-p.rr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦   ¦   ¦--RifS-TB treatment                              ,1-d.ptltfu.idh,c.d.idh.dh.rsATT,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
 ¦   ¦   ¦       ¦   ¦   ¦   ¦--Survives                                   ,1-d.cfr.tx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦   ¦   ¦   °--Dies                                       ,d.cfr.tx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦   ¦   °--No TB treatment                                ,d.ptltfu.idh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦   ¦       ¦--Survives                                   ,1-d.cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦   ¦       °--Dies                                       ,d.cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦   °--RifR-TB diagnosed                                  ,p.rr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦       ¦--RifR-TB treatment                              ,1-d.ptltfu.idh,c.d.idh.dh.rrATT,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
 ¦   ¦   ¦       ¦       ¦   ¦--Survives                                   ,1-d.cfr.tx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦       ¦   °--Dies                                       ,d.cfr.tx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦       °--No TB treatment                                ,d.ptltfu.idh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦           ¦--Survives                                   ,1-d.cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦           °--Dies                                       ,d.cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦--TB diagnosed (clinical)                                ,d.idh.dh.test.ptbc*(1-d.idh.dh.ptbxns),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦   ¦--RifS-TB treatment                                  ,1-d.ptltfu.idh,c.d.idh.dh.rsATT,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
 ¦   ¦   ¦       ¦   ¦   ¦--Survives                                       ,1-d.cfr.tx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦   ¦   °--Dies                                           ,d.cfr.tx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦   °--No TB treatment                                    ,d.ptltfu.idh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦       ¦--Survives                                       ,1-d.cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦       °--Dies                                           ,d.cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       °--Invited for reassessment                               ,(1-d.idh.dh.test.ptbc)*(1-d.idh.dh.ptbxns),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
¦   ¦   ¦           ¦--Reassessed at 7 days,1-d.idh.dh.7dltfu,c.d.idh.dh.sreassess7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦           ¦   ¦--TB diagnosed (clinical)                        ,d.idh.dh.test7.ptbc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
