levelName,check,p,cost,deaths,lives,refers,dxc,dxb
Partly-decentralized PHCs                                               ,0,1,0,0,0,0,0,0
 ¦--Present at DH                                                       ,0,1,0,0,0,0,0,0
 ¦   °--Systematic TB screening                                         ,0,1,0,0,0,0,0,0
 ¦       ¦--Presumptive TB                                              ,0,1,0,0,0,0,0,0
 ¦       ¦   °--Clinical exam + CXR + Xpert Ultra on NPA & stool        ,0,1,0,0,0,0,0,0
 ¦       ¦       ¦--TB diagnosed (bacteriological)                      ,0,1,0,0,0,0,0,1
 ¦       ¦       ¦   ¦--RifS-TB diagnosed                               ,0,1-p.rr,0,0,0,0,0,0
 ¦       ¦       ¦   ¦   ¦--RifS-TB treatment                           ,0,1-ptltfu,0,0,0,0,0,0
 ¦       ¦       ¦   ¦   ¦   ¦--Survives                                ,1,1-cfr_tx,0,0,1,0,0,0
 ¦       ¦       ¦   ¦   ¦   °--Dies                                    ,1,cfr_tx,0,1,0,0,0,0
 ¦       ¦       ¦   ¦   °--No TB treatment                             ,0,ptltfu,0,0,0,0,0,0
 ¦       ¦       ¦   ¦       ¦--Survives                                ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦       ¦   ¦       °--Dies                                    ,1,cfr_notx,0,1,0,0,0,0
 ¦       ¦       ¦   °--RifR-TB diagnosed                               ,0,p.rr,0,0,0,0,0,0
 ¦       ¦       ¦       ¦--RifR-TB treatment                           ,0,1-ptltfu,0,0,0,0,0,0
 ¦       ¦       ¦       ¦   ¦--Survives                                ,1,1-cfr_tx,0,0,1,0,0,0
 ¦       ¦       ¦       ¦   °--Dies                                    ,1,cfr_tx,0,1,0,0,0,0
 ¦       ¦       ¦       °--No TB treatment                             ,0,ptltfu,0,0,0,0,0,0
 ¦       ¦       ¦           ¦--Survives                                ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦       ¦           °--Dies                                    ,1,cfr_notx,0,1,0,0,0,0
 ¦       ¦       ¦--TB diagnosed (clinical)                             ,0,1,0,0,0,0,1,0
 ¦       ¦       ¦   ¦--RifS-TB treatment                               ,0,1-ptltfu,0,0,0,0,0,0
 ¦       ¦       ¦   ¦   ¦--Survives                                    ,1,1-cfr_tx,0,0,1,0,0,0
 ¦       ¦       ¦   ¦   °--Dies                                        ,1,cfr_tx,0,1,0,0,0,0
 ¦       ¦       ¦   °--No TB treatment                                 ,0,ptltfu,0,0,0,0,0,0
 ¦       ¦       ¦       ¦--Survives                                    ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦       ¦       °--Dies                                        ,1,cfr_notx,0,1,0,0,0,0
 ¦       ¦       °--Reassessed at 7 days                                ,0,1,0,0,0,0,0,0
 ¦       ¦           ¦--TB diagnosed (clinical)                         ,0,1,0,0,0,0,1,0
 ¦       ¦           ¦   ¦--RifS-TB treatment                           ,0,1-ptltfu,0,0,0,0,0,0
 ¦       ¦           ¦   ¦   ¦--Survives                                ,1,1-cfr_tx,0,0,1,0,0,0
 ¦       ¦           ¦   ¦   °--Dies                                    ,1,cfr_tx,0,1,0,0,0,0
 ¦       ¦           ¦   °--No TB treatment                             ,0,ptltfu,0,0,0,0,0,0
 ¦       ¦           ¦       ¦--Survives                                ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦           ¦       °--Dies                                    ,1,cfr_notx,0,1,0,0,0,0
 ¦       ¦           °--No TB diagnosed                                 ,0,1,0,0,0,0,0,0
 ¦       ¦               °--No TB treatment                             ,0,1,0,0,0,0,0,0
 ¦       ¦                   ¦--Survives                                ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦                   °--Dies                                    ,1,cfr_notx,0,1,0,0,0,0
 ¦       °--All other patients                                          ,0,1,0,0,0,0,0,0
 ¦           °--No TB treatment                                         ,0,1,0,0,0,0,0,0
 ¦               ¦--Survives                                            ,1,1-cfr_notx,0,0,1,0,0,0
 ¦               °--Dies                                                ,1,cfr_notx,0,1,0,0,0,0
 °--Present at PHC                                                      ,0,1,0,0,0,0,0,0
     °--Systematic TB screening                                         ,0,1,0,0,0,0,0,0
         ¦--Presumptive TB                                              ,0,1,0,0,0,0,0,0
         ¦   ¦--Clinical exam only                                      ,0,1,0,0,0,0,0,0
         ¦   ¦   ¦--TB diagnosed (clinical)                             ,0,1,0,0,0,0,1,0
         ¦   ¦   ¦   ¦--RifS-TB treatment                               ,0,1-ptltfu,0,0,0,0,0,0
         ¦   ¦   ¦   ¦   ¦--Survives                                    ,1,1-cfr_tx,0,0,1,0,0,0
         ¦   ¦   ¦   ¦   °--Dies                                        ,1,cfr_tx,0,1,0,0,0,0
         ¦   ¦   ¦   °--No TB treatment                                 ,0,ptltfu,0,0,0,0,0,0
         ¦   ¦   ¦       ¦--Survives                                    ,1,1-cfr_notx,0,0,1,0,0,0
         ¦   ¦   ¦       °--Dies                                        ,1,cfr_notx,0,1,0,0,0,0
         ¦   ¦   ¦--No TB diagnosed                                     ,0,1,0,0,0,0,0,0
         ¦   ¦   ¦   °--No TB treatment                                 ,0,1,0,0,0,0,0,0
         ¦   ¦   ¦       ¦--Survives                                    ,1,1-cfr_notx,0,0,1,0,0,0
         ¦   ¦   ¦       °--Dies                                        ,1,cfr_notx,0,1,0,0,0,0
         ¦   ¦   °--Refer to DH                                         ,0,1,0,0,0,1,0,0
         ¦   ¦       ¦--Clinical exam + CXR + Xpert Ultra on NPA & stool,0,1,0,0,0,0,0,0
         ¦   ¦       ¦   ¦--TB diagnosed (bacteriological)              ,0,1,0,0,0,0,0,1
         ¦   ¦       ¦   ¦   ¦--RifS-TB diagnosed                       ,0,1-p.rr,0,0,0,0,0,0
         ¦   ¦       ¦   ¦   ¦   ¦--RifS-TB treatment                   ,0,1-ptltfu,0,0,0,0,0,0
         ¦   ¦       ¦   ¦   ¦   ¦   ¦--Survives                        ,1,1-cfr_tx,0,0,1,0,0,0
         ¦   ¦       ¦   ¦   ¦   ¦   °--Dies                            ,1,cfr_tx,0,1,0,0,0,0
         ¦   ¦       ¦   ¦   ¦   °--No TB treatment                     ,0,ptltfu,0,0,0,0,0,0
         ¦   ¦       ¦   ¦   ¦       ¦--Survives                        ,1,1-cfr_notx,0,0,1,0,0,0
         ¦   ¦       ¦   ¦   ¦       °--Dies                            ,1,cfr_notx,0,1,0,0,0,0
         ¦   ¦       ¦   ¦   °--RifR-TB diagnosed                       ,0,p.rr,0,0,0,0,0,0
         ¦   ¦       ¦   ¦       ¦--RifR-TB treatment                   ,0,1-ptltfu,0,0,0,0,0,0
         ¦   ¦       ¦   ¦       ¦   ¦--Survives                        ,1,1-cfr_tx,0,0,1,0,0,0
         ¦   ¦       ¦   ¦       ¦   °--Dies                            ,1,cfr_tx,0,1,0,0,0,0
         ¦   ¦       ¦   ¦       °--No TB treatment                     ,0,ptltfu,0,0,0,0,0,0
         ¦   ¦       ¦   ¦           ¦--Survives                        ,1,1-cfr_notx,0,0,1,0,0,0
         ¦   ¦       ¦   ¦           °--Dies                            ,1,cfr_notx,0,1,0,0,0,0
         ¦   ¦       ¦   ¦--TB diagnosed (clinical)                     ,0,1,0,0,0,0,1,0
         ¦   ¦       ¦   ¦   ¦--RifS-TB treatment                       ,0,1-ptltfu,0,0,0,0,0,0
         ¦   ¦       ¦   ¦   ¦   ¦--Survives                            ,1,1-cfr_tx,0,0,1,0,0,0
         ¦   ¦       ¦   ¦   ¦   °--Dies                                ,1,cfr_tx,0,1,0,0,0,0
         ¦   ¦       ¦   ¦   °--No TB treatment                         ,0,ptltfu,0,0,0,0,0,0
         ¦   ¦       ¦   ¦       ¦--Survives                            ,1,1-cfr_notx,0,0,1,0,0,0
         ¦   ¦       ¦   ¦       °--Dies                                ,1,cfr_notx,0,1,0,0,0,0
         ¦   ¦       ¦   °--Reassessed at 7 days                        ,0,1,0,0,0,0,0,0
         ¦   ¦       ¦       ¦--TB diagnosed (clinical)                 ,0,1,0,0,0,0,1,0
