levelName,p,cost,deaths,lives,refers,dxc,dxb,att,check,DH.presented,DH.screened,DH.presumed,DH.treated,PHC.presented,PHC.screened,PHC.presumed,PHC.treated
Partly-decentralized PHCs                                                      ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦--Present at DH                                                              ,1-d.ipd.pphc,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ¦   ¦--Systematic TB screening                                                ,d.ipd.dh.assess,c.d.ipd.dh.sassess,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 ¦   ¦   ¦--Presumptive TB                                                     ,d.dh.prsmptv*d.ipd.dh.presumed,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 ¦   ¦   ¦   °--Clinical exam + CXR + Xpert Ultra on NPA & stool/sputum        ,1,c.d.ipd.dh.examCXRxns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦--TB diagnosed (bacteriological)                             ,d.ipd.dh.ptbxns,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦   ¦--RifS-TB diagnosed                                      ,1-p.rr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦   ¦   ¦--RifS-TB treatment                                  ,1-d.ptltfu,c.d.ipd.dh.rsATT,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
 ¦   ¦   ¦       ¦   ¦   ¦   ¦--Survives                                       ,1-d.cfr.tx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦   ¦   ¦   °--Dies                                           ,d.cfr.tx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦   ¦   °--No TB treatment                                    ,d.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ¦   ¦   ¦       ¦   ¦       ¦--Survives                                       ,1-d.cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
