levelName,check,p,cost,deaths,lives,refers,dxc,dxb
PHC-focused strategy                                            ,0,1,0,0,0,0,0,0
 ¦--Present at DH                                               ,0,1-iph.p.phc,0,0,0,0,0,0
 ¦   °--Systematic TB screening                                 ,0,1,c.iph.dh.sassess,0,0,0,0,0
 ¦       ¦--Presumptive TB                                      ,0,dh.prsmptv*iph.dh.presumed,0,0,0,0,0,0
 ¦       ¦   °--Clinical exam + CXR + Xpert Ultra on NPA & stool,0,1,c.iph.dh.examCXRxns,0,0,0,0,0
 ¦       ¦       ¦--TB diagnosed (bacteriological)              ,0,iph.dh.ptbxns,0,0,0,0,0,1
 ¦       ¦       ¦   ¦--RifS-TB diagnosed                       ,0,1-p.rr,0,0,0,0,0,0
 ¦       ¦       ¦   ¦   ¦--RifS-TB treatment                   ,0,1-ptltfu,c.iph.dh.rsATT,0,0,0,0,0
 ¦       ¦       ¦   ¦   ¦   ¦--Survives                        ,1,1-cfr_tx,0,0,1,0,0,0
 ¦       ¦       ¦   ¦   ¦   °--Dies                            ,1,cfr_tx,0,1,0,0,0,0
 ¦       ¦       ¦   ¦   °--No TB treatment                     ,0,ptltfu,0,0,0,0,0,0
 ¦       ¦       ¦   ¦       ¦--Survives                        ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦       ¦   ¦       °--Dies                            ,1,cfr_notx,0,1,0,0,0,0
 ¦       ¦       ¦   °--RifR-TB diagnosed                       ,0,p.rr,0,0,0,0,0,0
 ¦       ¦       ¦       ¦--RifR-TB treatment                   ,0,1-ptltfu,c.iph.dh.rrATT,0,0,0,0,0
 ¦       ¦       ¦       ¦   ¦--Survives                        ,1,1-cfr_tx,0,0,1,0,0,0
 ¦       ¦       ¦       ¦   °--Dies                            ,1,cfr_tx,0,1,0,0,0,0
 ¦       ¦       ¦       °--No TB treatment                     ,0,ptltfu,0,0,0,0,0,0
 ¦       ¦       ¦           ¦--Survives                        ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦       ¦           °--Dies                            ,1,cfr_notx,0,1,0,0,0,0
 ¦       ¦       ¦--TB diagnosed (clinical)                     ,0,iph.dh.ptbc*(1-iph.dh.ptbxns),0,0,0,0,1,0
 ¦       ¦       ¦   ¦--RifS-TB treatment                       ,0,1-ptltfu,c.iph.dh.rsATT,0,0,0,0,0
 ¦       ¦       ¦   ¦   ¦--Survives                            ,1,1-cfr_tx,0,0,1,0,0,0
 ¦       ¦       ¦   ¦   °--Dies                                ,1,cfr_tx,0,1,0,0,0,0
 ¦       ¦       ¦   °--No TB treatment                         ,0,ptltfu,0,0,0,0,0,0
 ¦       ¦       ¦       ¦--Survives                            ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦       ¦       °--Dies                                ,1,cfr_notx,0,1,0,0,0,0
 ¦       ¦       °--Reassessed at 7 days                        ,0,(1-iph.dh.ptbc)*(1-iph.dh.ptbxns),c.iph.dh.sreassess7,0,0,0,0,0
 ¦       ¦           ¦--TB diagnosed (clinical)                 ,0,iph.dh7.ptbc,0,0,0,0,1,0
