levelName,p,cost,deaths,lives,refers,dxc,dxb,att,check,DH.presented,DH.screened,DH.presumed,DH.treated,PHC.presented,PHC.screened,PHC.presumed,PHC.treated
"Standard of Care",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦--Present at DH",1-d.soc.pphc,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"¦   °--Non-systematic assessment",1,c.d.soc.dh.nsassess,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"¦       ¦--Identified presumptive TB",d.dh.prsmptv*d.soc.dh.presumed,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"¦       ¦   ¦--Clinical exam only",1-d.soc.dh.test,c.d.soc.dh.examCXR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦--TB diagnosed (clinical)",d.soc.dh.notest.ptbc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦   ¦--RifS-TB treatment",1-d.ptltfu,c.d.soc.dh.rsATT,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"¦       ¦   ¦   ¦   ¦   ¦--Survives",1-d.cfr.tx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦   ¦   °--Dies",d.cfr.tx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦   °--No TB treatment",d.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦       ¦--Survives",1-d.cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦       °--Dies",d.cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   ¦   °--No TB diagnosed",1-d.soc.dh.notest.ptbc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦   ¦       ¦--Survives",1-d.cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   ¦       °--Dies",d.cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   ¦--Clinical exam + Xpert Ultra on sputum",d.soc.dh.test*d.soc.dh.fracsp,c.d.soc.dh.examCXRxsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦--TB diagnosed (bacteriological)",d.soc.dh.ptbxsp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦   ¦--RifS-TB diagnosed",1-p.rr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦   ¦   ¦--RifS-TB treatment",1-d.ptltfu,c.d.soc.dh.rsATT,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"¦       ¦   ¦   ¦   ¦   ¦   ¦--Survives",1-d.cfr.tx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦   ¦   ¦   °--Dies",d.cfr.tx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦   ¦   °--No TB treatment",d.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦   ¦       ¦--Survives",1-d.cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦   ¦       °--Dies",d.cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦   °--RifR-TB diagnosed",p.rr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦       ¦--RifR-TB treatment",1-d.ptltfu,c.d.soc.dh.rrATT,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"¦       ¦   ¦   ¦       ¦   ¦--Survives",1-d.cfr.tx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦       ¦   °--Dies",d.cfr.tx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦       °--No TB treatment",d.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦           ¦--Survives",1-d.cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦           °--Dies",d.cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦--TB diagnosed (clinical)",d.soc.dh.test.ptbc*(1-d.soc.dh.ptbxsp),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦   ¦--RifS-TB treatment",1-d.ptltfu,c.d.soc.dh.rsATT,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"¦       ¦   ¦   ¦   ¦   ¦--Survives",1-d.cfr.tx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦   ¦   °--Dies",d.cfr.tx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦   °--No TB treatment",d.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦       ¦--Survives",1-d.cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   ¦   ¦       °--Dies",d.cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   ¦   °--No TB diagnosed",(1-d.soc.dh.test.ptbc)*(1-d.soc.dh.ptbxsp),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦   ¦       ¦--Survives",1-d.cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   ¦       °--Dies",d.cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   °--Clinical exam + Xpert Ultra on GA",d.soc.dh.test*(1-d.soc.dh.fracsp),c.d.soc.dh.examCXRxga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦       ¦--TB diagnosed (bacteriological)",d.soc.dh.ptbxga,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"¦       ¦       ¦   ¦--RifS-TB diagnosed",1-p.rr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦       ¦   ¦   ¦--RifS-TB treatment",1-d.ptltfu,c.d.soc.dh.rsATT,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"¦       ¦       ¦   ¦   ¦   ¦--Survives",1-d.cfr.tx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦       ¦   ¦   ¦   °--Dies",d.cfr.tx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦       ¦   ¦   °--No TB treatment",d.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦       ¦   ¦       ¦--Survives",1-d.cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦       ¦   ¦       °--Dies",d.cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦       ¦   °--RifR-TB diagnosed",p.rr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦       ¦       ¦--RifR-TB treatment",1-d.ptltfu,c.d.soc.dh.rrATT,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"¦       ¦       ¦       ¦   ¦--Survives",1-d.cfr.tx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦       ¦       ¦   °--Dies",d.cfr.tx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦       ¦       °--No TB treatment",d.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦       ¦           ¦--Survives",1-d.cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦       ¦           °--Dies",d.cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦       ¦--TB diagnosed (clinical)",d.soc.dh.test.ptbc*(1-d.soc.dh.ptbxga),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦       ¦   ¦--RifS-TB treatment",1-d.ptltfu,c.d.soc.dh.rsATT,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"¦       ¦       ¦   ¦   ¦--Survives",1-d.cfr.tx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦       ¦   ¦   °--Dies",d.cfr.tx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦       ¦   °--No TB treatment",d.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦       ¦       ¦--Survives",1-d.cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦       ¦       °--Dies",d.cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦       °--No TB diagnosed",(1-d.soc.dh.test.ptbc)*(1-d.soc.dh.ptbxga),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦           ¦--Survives",1-d.cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦           °--Dies",d.cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦--Unidentified presumptive TB",d.dh.prsmptv*(1-d.soc.dh.presumed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦       ¦   ¦--Survives",1-d.cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       ¦   °--Dies",d.cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦       °--All other patients",1-d.dh.prsmptv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦           ¦--Survives",1-d.cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦           °--Dies",d.cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"°--Present at PHC",d.soc.pphc,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"°--Non-systematic assessment",1,c.d.soc.phc.nsassess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦--Identified presumptive TB",d.phc.prsmptv*d.soc.phc.presumed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"¦   ¦--Clinical exam only",1-d.soc.phc.test,c.d.soc.phc.exam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦   ¦   ¦--TB diagnosed (clinical)",d.soc.phc.notest.ptbc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"¦   ¦   ¦   ¦--RifS-TB treatment",1-d.ptltfu,c.d.soc.phc.rsATT,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"¦   ¦   ¦   ¦   ¦--Survives",1-d.cfr.tx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦   ¦   ¦   ¦   °--Dies",d.cfr.tx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦   ¦   ¦   °--No TB treatment",d.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦   ¦   ¦       ¦--Survives",1-d.cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦   ¦   ¦       °--Dies",d.cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦   ¦   ¦--No TB diagnosed",(1-d.soc.phc.notest.ptbc)*(1-d.soc.phc.notest.referDH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦   ¦   ¦   ¦--Survives",1-d.cfr.notx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦   ¦   ¦   °--Dies",d.cfr.notx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦   ¦   °--Refer to DH",(1-d.soc.phc.notest.ptbc)*d.soc.phc.notest.referDH,c.d.soc.phc.refer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"¦   ¦       ¦--Clinical exam only",(1-d.soc.dh.test)*(1-d.soc.rltfu),c.d.soc.dh.examCXR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¦   ¦       ¦   ¦--TB diagnosed (clinical)",d.soc.dhrefnotest.notest.ptbc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"¦   ¦       ¦   ¦   ¦--RifS-TB treatment",1-d.ptltfu,c.d.soc.dh.rsATT,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"¦   ¦       ¦   ¦   ¦   ¦--Survives",1-d.cfr.tx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦   ¦       ¦   ¦   ¦   °--Dies",d.cfr.tx,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"¦   ¦       ¦   ¦   °--No TB treatment",d.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
