levelName,check,p,cost,deaths,lives,refers,dxc,dxb
Standard of Care                                             ,0,1,0,0,0,0,0,0
 ¦--Present at DH                                            ,0,1-soc.p.phc,0,0,0,0,0,0
 ¦   °--Non-systematic assessment                            ,0,1,c.soc.dh.nsassess,0,0,0,0,0
 ¦       ¦--Identified presumptive TB                        ,0,dh.prsmptv*soc.dh.presumed,0,0,0,0,0,0
 ¦       ¦   ¦--Clinical exam only                           ,0,1-soc.dh.test,c.soc.dh.examCXR,0,0,0,0,0
 ¦       ¦   ¦   ¦--TB diagnosed (clinical)                  ,0,soc.dh.ptbc,0,0,0,0,1,0
 ¦       ¦   ¦   ¦   ¦--RifS-TB treatment                    ,0,1-ptltfu,c.soc.dh.rsATT,0,0,0,0,0
 ¦       ¦   ¦   ¦   ¦   ¦--Survives                         ,1,1-cfr_tx,0,0,1,0,0,0
 ¦       ¦   ¦   ¦   ¦   °--Dies                             ,1,cfr_tx,0,1,0,0,0,0
 ¦       ¦   ¦   ¦   °--No TB treatment                      ,0,ptltfu,0,0,0,0,0,0
 ¦       ¦   ¦   ¦       ¦--Survives                         ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦   ¦   ¦       °--Dies                             ,1,cfr_notx,0,1,0,0,0,0
 ¦       ¦   ¦   °--No TB diagnosed                          ,0,1-soc.dh.ptbc,0,0,0,0,0,0
 ¦       ¦   ¦       °--No TB treatment                      ,0,1,0,0,0,0,0,0
 ¦       ¦   ¦           ¦--Survives                         ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦   ¦           °--Dies                             ,1,cfr_notx,0,1,0,0,0,0
 ¦       ¦   ¦--Clinical exam + Xpert Ultra on sputum        ,0,soc.dh.test*soc.dh.fracsp,c.soc.dh.examCXRxsp,0,0,0,0,0
 ¦       ¦   ¦   ¦--TB diagnosed (bacteriological)           ,0,soc.dh.ptbxsp,0,0,0,0,0,1
 ¦       ¦   ¦   ¦   ¦--RifS-TB diagnosed                    ,0,1-p.rr,0,0,0,0,0,0
 ¦       ¦   ¦   ¦   ¦   ¦--RifS-TB treatment                ,0,1-ptltfu,c.soc.dh.rsATT,0,0,0,0,0
 ¦       ¦   ¦   ¦   ¦   ¦   ¦--Survives                     ,1,1-cfr_tx,0,0,1,0,0,0
 ¦       ¦   ¦   ¦   ¦   ¦   °--Dies                         ,1,cfr_tx,0,1,0,0,0,0
 ¦       ¦   ¦   ¦   ¦   °--No TB treatment                  ,0,ptltfu,0,0,0,0,0,0
 ¦       ¦   ¦   ¦   ¦       ¦--Survives                     ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦   ¦   ¦   ¦       °--Dies                         ,1,cfr_notx,0,1,0,0,0,0
 ¦       ¦   ¦   ¦   °--RifR-TB diagnosed                    ,0,p.rr,0,0,0,0,0,0
 ¦       ¦   ¦   ¦       ¦--RifR-TB treatment                ,0,1-ptltfu,c.soc.dh.rrATT,0,0,0,0,0
 ¦       ¦   ¦   ¦       ¦   ¦--Survives                     ,1,1-cfr_tx,0,0,1,0,0,0
 ¦       ¦   ¦   ¦       ¦   °--Dies                         ,1,cfr_tx,0,1,0,0,0,0
 ¦       ¦   ¦   ¦       °--No TB treatment                  ,0,ptltfu,0,0,0,0,0,0
 ¦       ¦   ¦   ¦           ¦--Survives                     ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦   ¦   ¦           °--Dies                         ,1,cfr_notx,0,1,0,0,0,0
 ¦       ¦   ¦   ¦--TB diagnosed (clinical)                  ,0,(1-soc.dh.ptbxsp)*soc.dh.ptbc,0,0,0,0,1,0
 ¦       ¦   ¦   ¦   ¦--RifS-TB treatment                    ,0,1-ptltfu,c.soc.dh.rsATT,0,0,0,0,0
 ¦       ¦   ¦   ¦   ¦   ¦--Survives                         ,1,1-cfr_tx,0,0,1,0,0,0
 ¦       ¦   ¦   ¦   ¦   °--Dies                             ,1,cfr_tx,0,1,0,0,0,0
 ¦       ¦   ¦   ¦   °--No TB treatment                      ,0,ptltfu,0,0,0,0,0,0
 ¦       ¦   ¦   ¦       ¦--Survives                         ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦   ¦   ¦       °--Dies                             ,1,cfr_notx,0,1,0,0,0,0
 ¦       ¦   ¦   °--No TB diagnosed                          ,0,(1-soc.dh.ptbxsp)*(1-soc.dh.ptbc),0,0,0,0,0,0
 ¦       ¦   ¦       °--No TB treatment                      ,0,1,0,0,0,0,0,0
 ¦       ¦   ¦           ¦--Survives                         ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦   ¦           °--Dies                             ,1,cfr_notx,0,1,0,0,0,0
 ¦       ¦   °--Clinical exam + Xpert Ultra on GA            ,0,soc.dh.test*(1-soc.dh.fracsp),c.soc.dh.examCXRxga,0,0,0,0,0
 ¦       ¦       ¦--TB diagnosed (bacteriological)           ,0,soc.dh.ptbxga,0,0,0,0,0,1
 ¦       ¦       ¦   ¦--RifS-TB diagnosed                    ,0,1-p.rr,0,0,0,0,0,0
 ¦       ¦       ¦   ¦   ¦--RifS-TB treatment                ,0,1-ptltfu,c.soc.dh.rsATT,0,0,0,0,0
 ¦       ¦       ¦   ¦   ¦   ¦--Survives                     ,1,1-cfr_tx,0,0,1,0,0,0
 ¦       ¦       ¦   ¦   ¦   °--Dies                         ,1,cfr_tx,0,1,0,0,0,0
 ¦       ¦       ¦   ¦   °--No TB treatment                  ,0,ptltfu,0,0,0,0,0,0
 ¦       ¦       ¦   ¦       ¦--Survives                     ,1,1-cfr_notx,0,0,1,0,0,0
 ¦       ¦       ¦   ¦       °--Dies                         ,1,cfr_notx,0,1,0,0,0,0
 ¦       ¦       ¦   °--RifR-TB diagnosed                    ,0,p.rr,0,0,0,0,0,0
 ¦       ¦       ¦       ¦--RifR-TB treatment                ,0,1-ptltfu,c.soc.dh.rrATT,0,0,0,0,0
 ¦       ¦       ¦       ¦   ¦--Survives                     ,1,1-cfr_tx,0,0,1,0,0,0
 ¦       ¦       ¦       ¦   °--Dies                         ,1,cfr_tx,0,1,0,0,0,0
 ¦       ¦       ¦       °--No TB treatment                  ,0,ptltfu,0,0,0,0,0,0
 ¦       ¦       ¦           ¦--Survives                     ,1,1-cfr_notx,0,0,1,0,0,0
