arm,location,age,stage,vpl,txt
idh,dh,0-4,presented,1.00E+05,
idh,dh,0-4,screened,78362.13373,78362
idh,dh,0-4,presumed,4263.711495,4264
idh,dh,0-4,treated,751.3148009,751
idh,dh,5-14,presented,1.00E+05,
idh,dh,5-14,screened,80466.88899,80467
idh,dh,5-14,presumed,8575.512149,8576
idh,dh,5-14,treated,2191.519771,2192
idh,phc,0-4,presented,1.00E+05,
idh,phc,0-4,screened,89399.70121,89400
idh,phc,0-4,presumed,1147.630042,1148
idh,phc,0-4,treated,40.74426185,41
idh,phc,5-14,presented,1.00E+05,
idh,phc,5-14,screened,93089.2376,93089
idh,phc,5-14,presumed,2377.555873,2378
idh,phc,5-14,treated,126.8029799,127
ipd,dh,0-4,presented,1.00E+05,
ipd,dh,0-4,screened,72754.57948,72755
ipd,dh,0-4,presumed,2467.008076,2467
ipd,dh,0-4,treated,477.6442781,478
ipd,dh,5-14,presented,1.00E+05,
ipd,dh,5-14,screened,83300.07483,83300
ipd,dh,5-14,presumed,2095.285607,2095
ipd,dh,5-14,treated,710.9004739,711
ipd,phc,0-4,presented,1.00E+05,
ipd,phc,0-4,screened,80317.12474,80317
ipd,phc,0-4,presumed,1458.773784,1459
ipd,phc,0-4,treated,163.8477801,164
ipd,phc,5-14,presented,1.00E+05,
ipd,phc,5-14,screened,77908.04024,77908
ipd,phc,5-14,presumed,1854.16147,1854
ipd,phc,5-14,treated,157.9778831,158
iph,dh,0-4,presented,1.00E+05,
iph,dh,0-4,screened,74979.1817,74979
iph,dh,0-4,presumed,2237.273081,2237
iph,dh,0-4,treated,127.6855604,128
iph,dh,5-14,presented,1.00E+05,
iph,dh,5-14,screened,74749.1274,74749
iph,dh,5-14,presumed,3555.846422,3556
iph,dh,5-14,treated,425.3926702,425
iph,phc,0-4,presented,1.00E+05,
iph,phc,0-4,screened,86360.70146,86361
iph,phc,0-4,presumed,1906.040962,1906
iph,phc,0-4,treated,49.07151528,49
iph,phc,5-14,presented,1.00E+05,
iph,phc,5-14,screened,83089.00202,83089
iph,phc,5-14,presumed,1849.35288,1849
iph,phc,5-14,treated,98.14144636,98
soc,dh,0-4,presented,1.00E+05,
soc,dh,0-4,screened,14555.89939,14556
soc,dh,0-4,presumed,250.1975244,250
soc,dh,0-4,treated,102.0542534,102
soc,dh,5-14,presented,1.00E+05,
soc,dh,5-14,screened,59795.91837,59796
soc,dh,5-14,presumed,1894.493647,1894
soc,dh,5-14,treated,281.0935695,281
soc,phc,0-4,presented,1.00E+05,
soc,phc,0-4,screened,12313.95675,12314
soc,phc,0-4,presumed,99.28992659,99
soc,phc,0-4,treated,35.1024993,35
soc,phc,5-14,presented,1.00E+05,
soc,phc,5-14,screened,26247.0687,26247
soc,phc,5-14,presumed,635.4766799,635
soc,phc,5-14,treated,68.03508874,68
