location,Arm,Facility,Age,OPD,Screened,Presumptive,Treated
All,SOC,DH,0-4,60752,,,62
All,SOC,DH,5-14,25970,,,73
All,SOC,PHC,0-4,99708,,,35
All,SOC,PHC,5-14,69082,,,47
All,IDH,DH,0-4,25479,20000,739,143
All,IDH,DH,5-14,9968,8585,360,106
All,IDH,PHC,0-4,33134,28352,443,37
All,IDH,PHC,5-14,17786,15099,368,25
All,IPH,DH,0-4,16515,12862,360,24
All,IPH,DH,5-14,8665,6824,306,42
All,IPH,PHC,0-4,35876,31840,711,17
All,IPH,PHC,5-14,29743,26037,562,25
Côte d'Ivoire,SOC,DH,0-4,16860,,,3
Côte d'Ivoire,SOC,DH,5-14,6267,,,2
Côte d'Ivoire,SOC,PHC,0-4,23769,,,0
Côte d'Ivoire,SOC,PHC,5-14,7967,,,0
Côte d'Ivoire,IDH,DH,0-4,4296,3369,55,25
Côte d'Ivoire,IDH,DH,5-14,1491,1169,53,34
Côte d'Ivoire,IDH,PHC,0-4,8128,6960,23,4
Côte d'Ivoire,IDH,PHC,5-14,3072,2834,31,7
Côte d'Ivoire,IPH,DH,0-4,7910,5927,76,3
Côte d'Ivoire,IPH,DH,5-14,3140,2652,67,13
Côte d'Ivoire,IPH,PHC,0-4,6599,5518,72,2
Côte d'Ivoire,IPH,PHC,5-14,2180,1926,61,1
Uganda,SOC,DH,0-4,5304,,,0
Uganda,SOC,DH,5-14,7098,,,2
Uganda,SOC,PHC,0-4,15594,,,12
Uganda,SOC,PHC,5-14,24237,,,12
Uganda,IDH,DH,0-4,3169,3068,107,8
Uganda,IDH,DH,5-14,3986,3819,64,6
Uganda,IDH,PHC,0-4,4942,4847,94,5
Uganda,IDH,PHC,5-14,5817,5674,116,4
Uganda,IPH,DH,0-4,1800,1754,102,3
Uganda,IPH,DH,5-14,2065,2016,45,6
Uganda,IPH,PHC,0-4,10854,10425,325,2
Uganda,IPH,PHC,5-14,12638,12202,180,8
Cambodia,SOC,DH,0-4,2361,,,0
Cambodia,SOC,DH,5-14,1369,,,1
Cambodia,SOC,PHC,0-4,21311,,,0
Cambodia,SOC,PHC,5-14,7796,,,13
Cambodia,IDH,DH,0-4,298,298,26,6
Cambodia,IDH,DH,5-14,219,219,28,4
Cambodia,IDH,PHC,0-4,4966,4949,80,2
Cambodia,IDH,PHC,5-14,2557,2524,89,0
Cambodia,IPH,DH,0-4,72,72,6,1
Cambodia,IPH,DH,5-14,50,50,23,3
Cambodia,IPH,PHC,0-4,6399,6399,23,0
Cambodia,IPH,PHC,5-14,3880,3880,39,2
Cameroon,SOC,DH,0-4,2357,,,5
Cameroon,SOC,DH,5-14,1101,,,9
Cameroon,SOC,PHC,0-4,3229,,,0
Cameroon,SOC,PHC,5-14,1427,,,1
Cameroon,IDH,DH,0-4,761,703,147,9
Cameroon,IDH,DH,5-14,434,384,102,10
Cameroon,IDH,PHC,0-4,1702,1460,68,0
Cameroon,IDH,PHC,5-14,684,554,30,1
Cameroon,IPH,DH,0-4,1328,1317,90,2
Cameroon,IPH,DH,5-14,641,637,86,3
Cameroon,IPH,PHC,0-4,918,910,120,3
Cameroon,IPH,PHC,5-14,398,397,46,1
Mozambique,SOC,DH,0-4,15126,,,27
Mozambique,SOC,DH,5-14,8796,,,47
Mozambique,SOC,PHC,0-4,18937,,,22
Mozambique,SOC,PHC,5-14,24750,,,18
Mozambique,IDH,DH,0-4,2982,2624,69,16
Mozambique,IDH,DH,5-14,1646,1424,31,18
Mozambique,IDH,PHC,0-4,4703,3096,82,9
Mozambique,IDH,PHC,5-14,4110,2439,66,9
Mozambique,IPH,DH,0-4,4164,2596,64,11
Mozambique,IPH,DH,5-14,2690,1396,79,11
Mozambique,IPH,PHC,0-4,7784,5443,144,5
Mozambique,IPH,PHC,5-14,9810,6842,228,10
Sierra Leone,SOC,DH,0-4,18744,,,27
Sierra Leone,SOC,DH,5-14,1339,,,12
Sierra Leone,SOC,PHC,0-4,16868,,,1
Sierra Leone,SOC,PHC,5-14,2905,,,3
Sierra Leone,IDH,DH,0-4,13973,9938,335,79
Sierra Leone,IDH,DH,5-14,2192,1570,82,34
Sierra Leone,IDH,PHC,0-4,8693,7040,96,17
Sierra Leone,IDH,PHC,5-14,1546,1074,36,4
Sierra Leone,IPH,DH,0-4,1241,1196,22,4
Sierra Leone,IPH,DH,5-14,79,73,6,6
Sierra Leone,IPH,PHC,0-4,3322,3145,27,5
Sierra Leone,IPH,PHC,5-14,837,790,8,3
